password,score,label
secret,9,weak
welcome,14,weak
password,19,weak
apple123,28,weak
hello123,28,weak
abc123,19,weak
abc123,19,weak
iloveyou,19,weak
apple123,28,weak
welcome,14,weak
mobile123,30,weak
apple123,28,weak
shadow,9,weak
admin123,28,weak
master,9,weak
letmein,14,weak
password1,30,weak
password,19,weak
admin123,28,weak
qwerty123,16,weak
abc123,19,weak
sunshine,19,weak
killer,9,weak
password,19,weak
shadow,9,weak
qwerty123,16,weak
google123,30,weak
secret,9,weak
google123,30,weak
shadow,9,weak
letmein,14,weak
abc123,19,weak
dragon,9,weak
master,9,weak
hello123,28,weak
password,19,weak
samsung123,33,weak
qwerty,0,weak
google123,30,weak
letmein,14,weak
ganesh123,30,weak
hello123,28,weak
iloveyou,19,weak
qwerty123,16,weak
samsung123,33,weak
ganesh123,30,weak
welcome,14,weak
admin123,28,weak
omnamahshivay,32,weak
welcome,14,weak
krishna108,33,weak
krishna108,33,weak
killer,9,weak
hello123,28,weak
password1,30,weak
apple123,28,weak
dragon,9,weak
shadow,9,weak
welcome,14,weak
omnamahshivay,32,weak
admin123,28,weak
shadow,9,weak
india123,28,weak
secret,9,weak
killer,9,weak
krishna108,33,weak
master,9,weak
qwerty123,16,weak
google123,30,weak
admin123,28,weak
password1,30,weak
mobile123,30,weak
abc123,19,weak
samsung123,33,weak
india123,28,weak
admin123,28,weak
abc123,19,weak
welcome,14,weak
omnamahshivay,32,weak
hello123,28,weak
dragon,9,weak
secret,9,weak
krishna108,33,weak
qwerty,0,weak
krishna108,33,weak
krishna108,33,weak
qwerty123,16,weak
mobile123,30,weak
hello123,28,weak
google123,30,weak
mobile123,30,weak
secret,9,weak
admin123,28,weak
killer,9,weak
secret,9,weak
qwerty,0,weak
shadow,9,weak
apple123,28,weak
abc123,19,weak
qwerty,0,weak
dragon,9,weak
omnamahshivay,32,weak
hello123,28,weak
secret,9,weak
google123,30,weak
shadow,9,weak
abc123,19,weak
mobile123,30,weak
ganesh123,30,weak
samsung123,33,weak
samsung123,33,weak
password1,30,weak
abc123,19,weak
password1,30,weak
ganesh123,30,weak
omnamahshivay,32,weak
hello123,28,weak
admin123,28,weak
qwerty123,16,weak
master,9,weak
google123,30,weak
ganesh123,30,weak
qwerty123,16,weak
secret,9,weak
football,19,weak
omnamahshivay,32,weak
secret,9,weak
dragon,9,weak
iloveyou,19,weak
hello123,28,weak
iloveyou,19,weak
abc123,19,weak
apple123,28,weak
shadow,9,weak
shadow,9,weak
hello123,28,weak
apple123,28,weak
master,9,weak
letmein,14,weak
master,9,weak
omnamahshivay,32,weak
krishna108,33,weak
abc123,19,weak
iloveyou,19,weak
sunshine,19,weak
football,19,weak
admin123,28,weak
samsung123,33,weak
password1,30,weak
welcome,14,weak
iloveyou,19,weak
secret,9,weak
qwerty,0,weak
mobile123,30,weak
letmein,14,weak
killer,9,weak
admin123,28,weak
omnamahshivay,32,weak
omnamahshivay,32,weak
killer,9,weak
dragon,9,weak
sunshine,19,weak
hello123,28,weak
shadow,9,weak
password,19,weak
mobile123,30,weak
apple123,28,weak
welcome,14,weak
mobile123,30,weak
shadow,9,weak
samsung123,33,weak
hello123,28,weak
samsung123,33,weak
secret,9,weak
ganesh123,30,weak
welcome,14,weak
india123,28,weak
letmein,14,weak
qwerty,0,weak
dragon,9,weak
password,19,weak
apple123,28,weak
apple123,28,weak
hello123,28,weak
sunshine,19,weak
samsung123,33,weak
qwerty,0,weak
sunshine,19,weak
welcome,14,weak
secret,9,weak
india123,28,weak
secret,9,weak
sunshine,19,weak
killer,9,weak
qwerty123,16,weak
iloveyou,19,weak
krishna108,33,weak
samsung123,33,weak
qwerty,0,weak
shadow,9,weak
samsung123,33,weak
sunshine,19,weak
password,19,weak
killer,9,weak
ganesh123,30,weak
football,19,weak
password,19,weak
welcome,14,weak
krishna108,33,weak
india123,28,weak
